Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Image Src
bikini-aster-01,Bikini Aster 01,"<p>Bikini Aster 01 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-001,92.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-cala-02,Bikini Cala 02,"<p>Bikini Cala 02 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-002,95.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-luna-03,Bikini Luna 03,"<p>Bikini Luna 03 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-003,98.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-sol-04,Bikini Sol 04,"<p>Bikini Sol 04 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-004,101.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-nube-05,Bikini Nube 05,"<p>Bikini Nube 05 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-005,104.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-marea-06,Bikini Marea 06,"<p>Bikini Marea 06 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-006,89.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-pera-07,Bikini Pera 07,"<p>Bikini Pera 07 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-007,92.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-milo-08,Bikini Milo 08,"<p>Bikini Milo 08 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-008,95.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-rayo-09,Bikini Rayo 09,"<p>Bikini Rayo 09 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, sale",TRUE,Talla,M,MV-BIK-009,98.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-cielo-10,Bikini Cielo 10,"<p>Bikini Cielo 10 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-010,101.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-aster-11,Bikini Aster 11,"<p>Bikini Aster 11 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-011,104.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
bikini-cala-12,Bikini Cala 12,"<p>Bikini Cala 12 de Marianela Vieira. Diseño moderno con cortes cuidadosos, acabados premium y un ajuste pensado para sentir confianza y comodidad.</p>",Marianela Vieira,Bikini,Ropa,"Bikini, Marianela Vieira, bikini, new, bestseller",TRUE,Talla,M,MV-BIK-012,89.00,20,https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=900&q=80
